PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=619 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=624 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=622 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=620 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=628 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=628 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=704 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=700 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=705 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=701 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=713 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=712 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=755 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=800 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=798 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=800 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=801 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=815 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=816 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=837 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=835 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=834 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=826 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=828 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=853 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=827 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=829 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=839 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=849 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=846 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=840 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=841 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=841 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=845 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=852 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=890 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=916 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=926 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=944 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=976 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=1011 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=1082 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=1154 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=1249 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=1246 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=1213 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=1186 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=1165 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=1139 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=1074 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=1055 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=1053 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=990 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=983 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=847 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=742 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=678 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=681 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=673 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=681 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=693 ms
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=698 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=691 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=678 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=677 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=689 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=711 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=781 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=770 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=756 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=783 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=788 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=898 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=833 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=817 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=810 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=815 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=809 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=764 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=742 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=692 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=708 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=708 ms
64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=715 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=716 ms
64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=714 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=706 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=701 ms
64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=708 ms
64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=722 ms
64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=709 ms
64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=720 ms
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=715 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=713 ms
64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=717 ms
64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=726 ms
64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=720 ms
64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=726 ms
64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=721 ms
64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=723 ms
